,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
1373,Jaundice, vomiting, fatigue, weight_loss, high_fever
1374,Jaundice,itching, fatigue, weight_loss, high_fever
1375,Jaundice,itching, vomiting, weight_loss, high_fever
1376,Jaundice,itching, vomiting, fatigue, high_fever
1377,Jaundice,itching, vomiting, fatigue, weight_loss
1378,Jaundice,itching, vomiting, fatigue, weight_loss
1379,Jaundice,itching, vomiting, fatigue, weight_loss
1380,Jaundice,itching, vomiting, fatigue, weight_loss
1381,Malaria, chills, vomiting, high_fever, sweating
1382,Malaria, chills, vomiting, high_fever, sweating
1383,Malaria, chills, vomiting, high_fever, sweating
1384,Malaria, vomiting, high_fever, sweating, headache
1385,Malaria, chills, high_fever, sweating, headache
1386,Malaria, chills, vomiting, sweating, headache
1387,Malaria, chills, vomiting, high_fever, headache
1388,Malaria, chills, vomiting, high_fever, sweating
1389,Malaria, chills, vomiting, high_fever, sweating
1390,Malaria, chills, vomiting, high_fever, sweating
1391,Chicken pox,itching, skin_rash, fatigue, lethargy
1392,Chicken pox, skin_rash, fatigue, lethargy, high_fever
1393,Chicken pox,itching, fatigue, lethargy, high_fever
1394,Chicken pox,itching, skin_rash, lethargy, high_fever
1395,Chicken pox,itching, skin_rash, fatigue, high_fever
1396,Chicken pox,itching, skin_rash, fatigue, lethargy
1397,Chicken pox,itching, skin_rash, fatigue, lethargy
1398,Chicken pox,itching, skin_rash, fatigue, lethargy
1399,Chicken pox,itching, skin_rash, fatigue, lethargy
1400,Chicken pox,itching, skin_rash, fatigue, lethargy
1401,Dengue, skin_rash, chills, joint_pain, vomiting
1402,Dengue, skin_rash, chills, joint_pain, vomiting
1403,Dengue, skin_rash, chills, joint_pain, vomiting
1404,Dengue, skin_rash, chills, joint_pain, vomiting
1405,Dengue, chills, joint_pain, vomiting, fatigue
1406,Dengue, skin_rash, joint_pain, vomiting, fatigue
1407,Dengue, skin_rash, chills, vomiting, fatigue
1408,Dengue, skin_rash, chills, joint_pain, fatigue
1409,Dengue, skin_rash, chills, joint_pain, vomiting
1410,Dengue, skin_rash, chills, joint_pain, vomiting
1411,Typhoid, chills, vomiting, fatigue, high_fever
1412,Typhoid, chills, vomiting, fatigue, high_fever
1413,Typhoid, chills, vomiting, fatigue, high_fever
1414,Typhoid, chills, vomiting, fatigue, high_fever
1415,Typhoid, chills, vomiting, fatigue, high_fever
1416,Typhoid, chills, vomiting, fatigue, high_fever
1417,Typhoid, chills, vomiting, fatigue, high_fever
1418,Typhoid, chills, vomiting, fatigue, high_fever
1419,Typhoid, chills, vomiting, fatigue, high_fever
1420,Typhoid, chills, fatigue, high_fever, headache
1421,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1422,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1423,hepatitis A, vomiting, yellowish_skin, dark_urine, nausea
1424,hepatitis A, joint_pain, yellowish_skin, dark_urine, nausea
1425,hepatitis A, joint_pain, vomiting, dark_urine, nausea
1426,hepatitis A, joint_pain, vomiting, yellowish_skin, nausea
1427,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1428,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1429,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1430,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1431,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1432,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1433,Hepatitis B, fatigue, lethargy, yellowish_skin, dark_urine
1434,Hepatitis B,itching, lethargy, yellowish_skin, dark_urine
1435,Hepatitis B,itching, fatigue, yellowish_skin, dark_urine
1436,Hepatitis B,itching, fatigue, lethargy, dark_urine
1437,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1438,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1439,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1440,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1441,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1442,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1443,Hepatitis C, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes
1444,Hepatitis C, fatigue, nausea, loss_of_appetite, yellowing_of_eyes
1445,Hepatitis C, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes
1446,Hepatitis C, fatigue, yellowish_skin, nausea, yellowing_of_eyes
1447,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1448,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1449,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1450,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1451,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1452,Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine
1453,Hepatitis D, joint_pain, fatigue, yellowish_skin, dark_urine
1454,Hepatitis D, joint_pain, vomiting, yellowish_skin, dark_urine
1455,Hepatitis D, joint_pain, vomiting, fatigue, dark_urine
1456,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1457,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1458,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1459,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1460,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1461,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1462,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1463,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1464,Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin
1465,Hepatitis E, joint_pain, fatigue, high_fever, yellowish_skin
1466,Hepatitis E, joint_pain, vomiting, high_fever, yellowish_skin
1467,Hepatitis E, joint_pain, vomiting, fatigue, yellowish_skin
1468,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1469,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1470,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1471,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1472,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1473,Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen
1474,Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen
1475,Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen
1476,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen
1477,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1478,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1479,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1480,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1481,Tuberculosis, chills, vomiting, fatigue, weight_loss
1482,Tuberculosis, chills, vomiting, fatigue, weight_loss
1483,Tuberculosis, vomiting, fatigue, weight_loss, cough
1484,Tuberculosis, chills, fatigue, weight_loss, cough
1485,Tuberculosis, chills, vomiting, weight_loss, cough
1486,Tuberculosis, chills, vomiting, fatigue, cough
1487,Tuberculosis, chills, vomiting, fatigue, weight_loss
1488,Tuberculosis, chills, vomiting, fatigue, weight_loss
1489,Tuberculosis, chills, vomiting, fatigue, weight_loss
1490,Tuberculosis, chills, vomiting, fatigue, weight_loss
1491,Common Cold, continuous_sneezing, chills, fatigue, cough
1492,Common Cold, continuous_sneezing, chills, fatigue, cough
1493,Common Cold, chills, fatigue, cough, high_fever
1494,Common Cold, continuous_sneezing, fatigue, cough, high_fever
1495,Common Cold, continuous_sneezing, chills, cough, high_fever
1496,Common Cold, continuous_sneezing, chills, fatigue, high_fever
1497,Common Cold, continuous_sneezing, chills, fatigue, cough
1498,Common Cold, continuous_sneezing, chills, fatigue, cough
1499,Common Cold, continuous_sneezing, chills, fatigue, cough
1500,Common Cold, continuous_sneezing, chills, fatigue, cough
1501,Pneumonia, chills, fatigue, cough, high_fever
1502,Pneumonia, chills, fatigue, cough, high_fever
1503,Pneumonia, chills, fatigue, cough, high_fever
1504,Pneumonia, fatigue, cough, high_fever, breathlessness
1505,Pneumonia, chills, cough, high_fever, breathlessness
1506,Pneumonia, chills, fatigue, high_fever, breathlessness
1507,Pneumonia, chills, fatigue, cough, breathlessness
1508,Pneumonia, chills, fatigue, cough, high_fever
1509,Pneumonia, chills, fatigue, cough, high_fever
1510,Pneumonia, chills, fatigue, cough, high_fever
1511,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1512,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1513,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1514,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
1515,Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
1516,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
1517,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
1518,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1519,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1520,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1521,Heart attack, vomiting, breathlessness, sweating, chest_pain
1522,Heart attack, vomiting, breathlessness, sweating, chest_pain
1523,Heart attack, breathlessness, sweating, chest_pain,0
1524,Heart attack, vomiting, sweating, chest_pain,0
1525,Heart attack, vomiting, breathlessness, chest_pain,0
1526,Heart attack, vomiting, breathlessness, sweating,0
1527,Heart attack, vomiting, breathlessness, sweating, chest_pain
1528,Heart attack, breathlessness, sweating, chest_pain,0
1529,Heart attack, vomiting, sweating, chest_pain,0
1530,Heart attack, vomiting, breathlessness, chest_pain,0
1531,Varicose veins, fatigue, cramps, bruising, obesity
1532,Varicose veins, fatigue, cramps, bruising, obesity
1533,Varicose veins, cramps, bruising, obesity, swollen_legs
1534,Varicose veins, fatigue, bruising, obesity, swollen_legs
1535,Varicose veins, fatigue, cramps, obesity, swollen_legs
1536,Varicose veins, fatigue, cramps, bruising, swollen_legs
1537,Varicose veins, fatigue, cramps, bruising, obesity
1538,Varicose veins, fatigue, cramps, bruising, obesity
1539,Varicose veins, fatigue, cramps, bruising, obesity
1540,Varicose veins, fatigue, cramps, bruising, obesity
1541,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1542,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1543,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
1544,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
1545,Hypothyroidism, fatigue, cold_hands_and_feets, mood_swings, lethargy
1546,Hypothyroidism, fatigue, weight_gain, mood_swings, lethargy
1547,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, lethargy
1548,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1549,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1550,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1551,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1552,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1553,Hyperthyroidism, mood_swings, weight_loss, restlessness, sweating
1554,Hyperthyroidism, fatigue, weight_loss, restlessness, sweating
1555,Hyperthyroidism, fatigue, mood_swings, restlessness, sweating
1556,Hyperthyroidism, fatigue, mood_swings, weight_loss, sweating
1557,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1558,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1559,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1560,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1561,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1562,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1563,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1564,Hypoglycemia, fatigue, anxiety, sweating, headache
1565,Hypoglycemia, vomiting, anxiety, sweating, headache
1566,Hypoglycemia, vomiting, fatigue, sweating, headache
1567,Hypoglycemia, vomiting, fatigue, anxiety, headache
1568,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1569,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1570,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1571,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1572,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1573,Osteoarthristis, neck_pain, knee_pain, hip_joint_pain, swelling_joints
1574,Osteoarthristis, joint_pain, knee_pain, hip_joint_pain, swelling_joints
1575,Osteoarthristis, joint_pain, neck_pain, hip_joint_pain, swelling_joints
1576,Osteoarthristis, joint_pain, neck_pain, knee_pain, swelling_joints
1577,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1578,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1579,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1580,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1581,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1582,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1583,Arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking
1584,Arthritis, muscle_weakness, swelling_joints, movement_stiffness, painful_walking
1585,Arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking
1586,Arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking
1587,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1588,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1589,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1590,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1591,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1592,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1593,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss_of_balance
1594,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements, loss_of_balance
1595,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss_of_balance
1596,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
1597,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1598,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1599,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1600,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
1601,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
1602,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
1603,Acne, pus_filled_pimples, blackheads, scurring,0
1604,Acne, skin_rash, blackheads, scurring,0
1605,Acne, skin_rash, pus_filled_pimples, scurring,0
1606,Acne, skin_rash, pus_filled_pimples, blackheads,0
1607,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
1608,Acne, skin_rash, pus_filled_pimples, blackheads,0
1609,Acne, skin_rash, pus_filled_pimples, scurring,0
1610,Acne, skin_rash, blackheads, scurring,0
1611,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1612,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1613,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,0
1614,Urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,0
1615,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,0
1616,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,0
1617,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1618,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,0
1619,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,0
1620,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,0
1621,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1622,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1623,Psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
1624,Psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
1625,Psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
1626,Psoriasis, skin_rash, joint_pain, skin_peeling, small_dents_in_nails
1627,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1628,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1629,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1630,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1631,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
1632,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
1633,Impetigo, high_fever, blister, red_sore_around_nose, yellow_crust_ooze
1634,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1635,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1636,Impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze
1637,Impetigo, skin_rash, high_fever, blister, yellow_crust_ooze
1638,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
1639,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
1640,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1641,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1642,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,0
1643,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,0
1644,Fungal infection,itching, skin_rash, dischromic _patches,0
1645,Fungal infection,itching, skin_rash, nodal_skin_eruptions,0
1646,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,0
1647,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,0
1648,Fungal infection,itching, skin_rash, dischromic _patches,0
1649,Fungal infection,itching, skin_rash, nodal_skin_eruptions,0
1650,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1651,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
1652,Allergy, shivering, chills, watering_from_eyes,0
1653,Allergy, continuous_sneezing, chills, watering_from_eyes,0
1654,Allergy, continuous_sneezing, shivering, watering_from_eyes,0
1655,Allergy, continuous_sneezing, shivering, chills,0
1656,Allergy, shivering, chills, watering_from_eyes,0
1657,Allergy, continuous_sneezing, chills, watering_from_eyes,0
1658,Allergy, continuous_sneezing, shivering, watering_from_eyes,0
1659,Allergy, continuous_sneezing, shivering, chills,0
1660,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
1661,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
1662,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
1663,GERD, stomach_pain, acidity, vomiting, cough
1664,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
1665,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
1666,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
1667,GERD, acidity, ulcers_on_tongue, vomiting, cough
1668,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
1669,GERD, stomach_pain, acidity, vomiting, cough
1670,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
1671,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1672,Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite
1673,Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite
1674,Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite
1675,Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite
1676,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1677,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1678,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1679,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1680,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1681,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
1682,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
1683,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
1684,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
1685,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
1686,Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
1687,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
1688,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
1689,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
1690,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
1691,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
1692,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
1693,Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
1694,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
1695,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
1696,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases
1697,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
1698,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
1699,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
1700,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
1701,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
1702,AIDS, patches_in_throat, high_fever, extra_marital_contacts,0
1703,AIDS, muscle_wasting, high_fever, extra_marital_contacts,0
1704,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,0
1705,AIDS, muscle_wasting, patches_in_throat, high_fever,0
1706,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
1707,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
1708,AIDS, patches_in_throat, high_fever, extra_marital_contacts,0
1709,AIDS, muscle_wasting, high_fever, extra_marital_contacts,0
1710,AIDS, muscle_wasting, patches_in_throat, high_fever,0
1711,Diabetes , fatigue, weight_loss, restlessness, lethargy
1712,Diabetes , fatigue, weight_loss, restlessness, lethargy
1713,Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level
1714,Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level
1715,Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level
1716,Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level
1717,Diabetes , fatigue, weight_loss, restlessness, lethargy
1718,Diabetes , fatigue, weight_loss, restlessness, lethargy
1719,Diabetes , fatigue, weight_loss, restlessness, lethargy
1720,Diabetes , fatigue, weight_loss, restlessness, lethargy
1721,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
1722,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
1723,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,0
1724,Gastroenteritis, vomiting, dehydration, diarrhoea,0
1725,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,0
1726,Gastroenteritis, vomiting, sunken_eyes, dehydration,0
1727,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
1728,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,0
1729,Gastroenteritis, vomiting, dehydration, diarrhoea,0
1730,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,0
1731,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
1732,Bronchial Asthma, cough, high_fever, breathlessness, family_history
1733,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
1734,Bronchial Asthma, fatigue, cough, breathlessness, family_history
1735,Bronchial Asthma, fatigue, cough, high_fever, family_history
1736,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
1737,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
1738,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
1739,Bronchial Asthma, cough, high_fever, breathlessness, family_history
1740,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
1741,Hypertension , headache, chest_pain, dizziness, loss_of_balance
1742,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
1743,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
1744,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
1745,Hypertension , headache, chest_pain, dizziness, lack_of_concentration
1746,Hypertension , headache, chest_pain, dizziness, loss_of_balance
1747,Hypertension , headache, chest_pain, dizziness, loss_of_balance
1748,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
1749,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
1750,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
1751,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1752,Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
1753,Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger
1754,Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
1755,Migraine, acidity, indigestion, headache, excessive_hunger
1756,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1757,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1758,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1759,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1760,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1761,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1762,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1763,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
1764,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
1765,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance
1766,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
1767,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1768,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1769,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
1770,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
1771,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
1772,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
1773,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,0
1774,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,0
1775,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,0
1776,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,0
